team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
UC Berkeley,2018,13,Utah,University of Utah,0,1,0,0,Emi Watterson,.,9.825,.,.,0,0,Lois Colburn,Maureen Blair,Linda Thorberg,Tracy Brewer,Carole Bunge,Carol Curley,Marian DeWane,Linda McDonald,Judy Harwood,Candace Alvey,Noelle Buell,Michelle Guy,Fran Earles,Martha Dunn,Denise Jensen,Mary Milchanowski,.,.,.,.,.,.,.,.
UC Berkeley,2018,13,Utah,University of Utah,0,1,1,1,Toni-Ann Williams,9.825,9.8,9.85,9.925,0,0,Lois Colburn,Maureen Blair,Linda Thorberg,Tracy Brewer,Carole Bunge,Carol Curley,Marian DeWane,Linda McDonald,Judy Harwood,Candace Alvey,Noelle Buell,Michelle Guy,Fran Earles,Martha Dunn,Denise Jensen,Mary Milchanowski,.,.,.,.,.,.,.,.
UC Berkeley,2018,12,Arizona,McKale Center,0,0,1,0,Alicia Gallarzo,9.8,.,9.9,9.75,0,0,Kelly Dornon,Lisa Boylan,Winnie Witten,Fran Earles,Laurie Reid,Jan Harrison,Carole Ide,Tracy Brewer,Lynn Day,Tina Paulos,Jane Droese,Diane Lohner,Sandra Evanoff,Sandy Holsaple,Dianna Robinson,Vickie Kalthoff,.,.,.,.,.,.,.,.
UC Berkeley,2018,12,Arizona,McKale Center,0,0,1,1,Kyana George,9.85,9.85,9.775,9.825,0,0,Kelly Dornon,Lisa Boylan,Winnie Witten,Fran Earles,Laurie Reid,Jan Harrison,Carole Ide,Tracy Brewer,Lynn Day,Tina Paulos,Jane Droese,Diane Lohner,Sandra Evanoff,Sandy Holsaple,Dianna Robinson,Vickie Kalthoff,.,.,.,.,.,.,.,.
UC Berkeley,2018,12,Arizona,McKale Center,0,0,0,0,Cassidy Keelen,9.825,.,9.85,.,0,0,Kelly Dornon,Lisa Boylan,Winnie Witten,Fran Earles,Laurie Reid,Jan Harrison,Carole Ide,Tracy Brewer,Lynn Day,Tina Paulos,Jane Droese,Diane Lohner,Sandra Evanoff,Sandy Holsaple,Dianna Robinson,Vickie Kalthoff,.,.,.,.,.,.,.,.
UC Berkeley,2018,12,Arizona,McKale Center,0,0,0,0,Alma Kuc,.,9.2,.,.,0,0,Kelly Dornon,Lisa Boylan,Winnie Witten,Fran Earles,Laurie Reid,Jan Harrison,Carole Ide,Tracy Brewer,Lynn Day,Tina Paulos,Jane Droese,Diane Lohner,Sandra Evanoff,Sandy Holsaple,Dianna Robinson,Vickie Kalthoff,.,.,.,.,.,.,.,.
UC Berkeley,2018,12,Arizona,McKale Center,0,0,1,1,Arianna Robinson,9.925,.,.,9.825,0,0,Kelly Dornon,Lisa Boylan,Winnie Witten,Fran Earles,Laurie Reid,Jan Harrison,Carole Ide,Tracy Brewer,Lynn Day,Tina Paulos,Jane Droese,Diane Lohner,Sandra Evanoff,Sandy Holsaple,Dianna Robinson,Vickie Kalthoff,.,.,.,.,.,.,.,.
UC Berkeley,2018,12,Arizona,McKale Center,0,0,1,0,Nina Schank,.,9.85,.,.,0,0,Kelly Dornon,Lisa Boylan,Winnie Witten,Fran Earles,Laurie Reid,Jan Harrison,Carole Ide,Tracy Brewer,Lynn Day,Tina Paulos,Jane Droese,Diane Lohner,Sandra Evanoff,Sandy Holsaple,Dianna Robinson,Vickie Kalthoff,.,.,.,.,.,.,.,.
UC Berkeley,2018,12,Arizona,McKale Center,0,0,1,0,Sofie Seilnacht,.,.,9.9,9.75,0,0,Kelly Dornon,Lisa Boylan,Winnie Witten,Fran Earles,Laurie Reid,Jan Harrison,Carole Ide,Tracy Brewer,Lynn Day,Tina Paulos,Jane Droese,Diane Lohner,Sandra Evanoff,Sandy Holsaple,Dianna Robinson,Vickie Kalthoff,.,.,.,.,.,.,.,.
UC Berkeley,2018,12,Arizona,McKale Center,0,0,1,0,Sylvie Seilnacht,9.775,.,.,9.775,0,0,Kelly Dornon,Lisa Boylan,Winnie Witten,Fran Earles,Laurie Reid,Jan Harrison,Carole Ide,Tracy Brewer,Lynn Day,Tina Paulos,Jane Droese,Diane Lohner,Sandra Evanoff,Sandy Holsaple,Dianna Robinson,Vickie Kalthoff,.,.,.,.,.,.,.,.
