team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
Arizona,2022,8,Arizona,McKale Center,0,0,0,0,Bailey McCabe,.,9.875,.,.,0,0,Cynthia Lord,Anna Lee Olsen,Cookie Batsche,Sheryl DeWeerd,Cynthia Lord,Sheryl DeWeerd,Cookie Batsche,Anna Lee Olsen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,8,Arizona,McKale Center,0,0,0,0,Emily Mueller,9.675,9.825,9.825,9.9,0,0,Cynthia Lord,Anna Lee Olsen,Cookie Batsche,Sheryl DeWeerd,Cynthia Lord,Sheryl DeWeerd,Cookie Batsche,Anna Lee Olsen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,8,Arizona,McKale Center,0,0,0,0,Danielle Nosek,9.825,.,.,9.875,0,0,Cynthia Lord,Anna Lee Olsen,Cookie Batsche,Sheryl DeWeerd,Cynthia Lord,Sheryl DeWeerd,Cookie Batsche,Anna Lee Olsen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,8,Arizona,McKale Center,0,0,0,0,Libby Orman,.,.,.,9.775,0,0,Cynthia Lord,Anna Lee Olsen,Cookie Batsche,Sheryl DeWeerd,Cynthia Lord,Sheryl DeWeerd,Cookie Batsche,Anna Lee Olsen,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,1,0,Elena Deets,.,9.9,9.8,9.85,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,1,0,Malia Hargrove,9.85,9.825,9.925,9.85,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,0,0,Caroline Herry,9.775,.,9.8,9.9,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,0,0,Mackinzie Kane,.,9.875,.,.,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,0,0,Elizabeth Larusso,9.775,.,.,.,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,1,0,Sirena Linton,.,9.775,9.925,.,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,0,0,Halli Mayberry,9.75,.,.,.,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,0,0,Bailey McCabe,.,9.025,.,.,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,0,0,Emily Mueller,9.85,9.825,9.825,9.85,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,0,0,Danielle Nosek,9.825,.,.,9.8,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,0,0,Libby Orman,.,.,.,9.85,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,7,Arizona,McKale Center,0,0,0,0,Avery Stauffacher,.,.,8.975,.,0,0,Jeri Foley,Fran Earles,Karen Ederer,James Wickham,Fran Earles,James Wickham,Karen Ederer,Jeri Foley,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,1,0,Elena Deets,.,9.875,9.75,.,0,0,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,0,0,Alysen Fears,9.8,9.75,9.75,9.9,0,0,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,1,0,Malia Hargrove,9.7,9.725,9.9,9.925,0,0,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,0,0,Caroline Herry,9.75,.,9.8,9.925,0,0,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,0,0,Elizabeth Larusso,9.725,.,.,.,0,0,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,1,0,Sirena Linton,.,9.65,9.85,.,0,0,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,0,0,Bailey McCabe,.,9.725,.,.,0,0,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,0,0,Emily Mueller,9.8,9.725,9.8,9.725,0,0,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,0,0,Danielle Nosek,9.8,.,.,9.6,0.1,1,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,6,UC Berkeley,Haas Pavillion,0,0,0,0,Libby Orman,.,.,.,9.775,0,0,Jamie O'Neil,Roderick Radunzel,Jan Harrison,Lucia Lake,Jan Harrison,Roderick Radunzel,Jamie O'Neil,Lucia Lake,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,5,Arizona,McKale Center,0,0,0,0,Jessica Castles,9.75,.,9.85,9.825,0,0,Dianne Grayson,Fran Earles,Pamela Evans,Cynthia Lord,Dianne Grayson,Cynthia Lord,Pamela Evans,Fran Earles,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Arizona,2022,5,Arizona,McKale Center,0,0,1,0,Elena Deets,.,9.825,9.8,.,0,0,Dianne Grayson,Fran Earles,Pamela Evans,Cynthia Lord,Dianne Grayson,Cynthia Lord,Pamela Evans,Fran Earles,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
